Hostname, HOST, ISP and GeoLocation,"SSH (22)","SMTP (25)","DNS (53)","HTTP (80)"," 81","kerberos (88)","epmap (135)","netbios-ssn (139)","ldap (389)","HTTPS (443)","snpp (444)","microsoft-ds (445)","kpasswd (464)","submissions (465)","SMTP/Submission (587)"," 593","ldaps (636)"," 808"," 1801","zephyr-clt (2103)"," 2105"," 2107"," 2525"," 3000"," 3268"," 3269","MySQL (3306)","RDP (3389)","SIP (5060)","x11-1 (6001)","ircd (6667)","Tomcat or Proxy (8080)",
"N/A",192.168.65.105," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (997)","","","","",
"N/A",192.168.65.128," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (997)","","","","",
"N/A",192.168.65.14," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (997)","","","","",
"N/A",192.168.65.159," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (997)","","","","",
"N/A",192.168.65.177," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (997)","","","","",
"N/A",192.168.65.198," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (997)","","","","",
"N/A",192.168.65.206," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (997)","","","","",
"N/A",192.168.65.212," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (997)","","","","",
"N/A",192.168.65.231," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (997)","","","","",
"N/A",192.168.65.236," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (997)","","","","",
"N/A",192.168.65.35," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (997)","","","","",
"N/A",192.168.65.44," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","139/open/tcp//netbios-ssn//Microsoft Windows netbios-ssn/","","","","445/open/tcp//microsoft-ds?///","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: closed (996)","","","","",
"N/A",192.168.80.118," (RFC1918 Private, N/A)","","","53/open/tcp//domain//Simple DNS Plus/","","","88/open/tcp//kerberos-sec//Microsoft Windows Kerberos (server time: 2022-04-18 19:40:59Z)/","135/open/tcp//msrpc//Microsoft Windows RPC/","139/open/tcp//netbios-ssn//Microsoft Windows netbios-ssn/","389/open/tcp//ldap//Microsoft Windows Active Directory LDAP (Domain: qing.corp","","","445/open/tcp//microsoft-ds//Windows Server 2016 Datacenter 14393 microsoft-ds (workgroup: QING)/","464/open/tcp//kpasswd5?///","","","593/open/tcp//ncacn_http//Microsoft Windows RPC over HTTP 1.0/","636/open/tcp//tcpwrapped///","","","","","","","","3268/open/tcp//ldap//Microsoft Windows Active Directory LDAP (Domain: qing.corp","3269/open/tcp//tcpwrapped///","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (988)","","","","",
"N/A",192.168.80.138," (RFC1918 Private, N/A)","","","53/open/tcp//domain//Simple DNS Plus/","","","88/open/tcp//kerberos-sec//Microsoft Windows Kerberos (server time: 2022-04-18 19:40:59Z)/","135/open/tcp//msrpc//Microsoft Windows RPC/","139/open/tcp//netbios-ssn//Microsoft Windows netbios-ssn/","389/open/tcp//ldap//Microsoft Windows Active Directory LDAP (Domain: qing.corp","","","445/open/tcp//microsoft-ds//Windows Server 2016 Datacenter 14393 microsoft-ds (workgroup: QING)/","464/open/tcp//kpasswd5?///","","","593/open/tcp//ncacn_http//Microsoft Windows RPC over HTTP 1.0/","636/open/tcp//tcpwrapped///","","","","","","","","3268/open/tcp//ldap//Microsoft Windows Active Directory LDAP (Domain: qing.corp","3269/open/tcp//tcpwrapped///","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (988)","","","","",
"N/A",192.168.80.148," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","139/open/tcp//netbios-ssn//Microsoft Windows netbios-ssn/","","","","445/open/tcp//microsoft-ds//Microsoft Windows Server 2008 R2 - 2012 microsoft-ds/","","","","","","","","","","","","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (996)","","","","",
"N/A",192.168.80.163," (RFC1918 Private, N/A)","","25/open/tcp//smtp//Microsoft Exchange smtpd/","","80/open/tcp//http//Microsoft IIS httpd 10.0/","81/open/tcp//http//Microsoft IIS httpd 10.0/","","135/open/tcp//msrpc//Microsoft Windows RPC/","139/open/tcp//netbios-ssn//Microsoft Windows netbios-ssn/","","443/open/tcp//ssl|http//Microsoft IIS httpd 10.0/","444/open/tcp//ssl|http//Microsoft IIS httpd 10.0/","445/open/tcp//microsoft-ds//Microsoft Windows Server 2008 R2 - 2012 microsoft-ds/","","465/open/tcp//smtp//Microsoft Exchange smtpd/","587/open/tcp//smtp//Microsoft Exchange smtpd/","593/open/tcp//ncacn_http//Microsoft Windows RPC over HTTP 1.0/","","808/open/tcp//ccproxy-http?///","1801/open/tcp//msmq?///","2103/open/tcp//msrpc//Microsoft Windows RPC/","2105/open/tcp//msrpc//Microsoft Windows RPC/","2107/open/tcp//msrpc//Microsoft Windows RPC/","2525/open/tcp//smtp//Microsoft Exchange smtpd/","","","","","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/","5060/open/tcp//sip?///","6001/open/tcp//ncacn_http//Microsoft Windows RPC over HTTP 1.0/","6667/open/tcp//msrpc//Microsoft Windows RPC/Ignored State: filtered (979)","",
"N/A",192.168.80.172," (RFC1918 Private, N/A)","","","","","","","135/open/tcp//msrpc//Microsoft Windows RPC/","","","","","445/open/tcp//microsoft-ds//Microsoft Windows Server 2008 R2 - 2012 microsoft-ds/","","","","","","","","","","","","","","","3306/open/tcp//mysql//MySQL 5.7.36-log/","3389/open/tcp//ms-wbt-server//Microsoft Terminal Services/Ignored State: filtered (996)","","","","",
"N/A",192.168.80.209," (RFC1918 Private, N/A)","22/open/tcp//ssh//OpenSSH 7.6p1 Ubuntu 4ubuntu0.5 (Ubuntu Linux; protocol 2.0)/","","","80/open/tcp//http//nginx 1.14.0 (Ubuntu)/","","","","","","","","","","","","","","","","","","","","3000/open/tcp//ppp?///Ignored State: closed (997)","","","","","","","","",
"N/A",192.168.80.24," (RFC1918 Private, N/A)","22/open/tcp//ssh//OpenSSH 7.6p1 Ubuntu 4ubuntu0.5 (Ubuntu Linux; protocol 2.0)/","","","80/open/tcp//http//nginx/Ignored State: closed (998)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"N/A",192.168.80.31," (RFC1918 Private, N/A)","22/open/tcp//ssh//OpenSSH 7.6p1 Ubuntu 4ubuntu0.5 (Ubuntu Linux; protocol 2.0)/Ignored State: closed (999)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"N/A",192.168.80.4," (RFC1918 Private, N/A)","22/open/tcp//ssh//OpenSSH 7.6p1 Ubuntu 4ubuntu0.5 (Ubuntu Linux; protocol 2.0)/","","","80/open/tcp//http//nginx 1.14.0 (Ubuntu)/","","","","","","","","","","","","","","","","","","","","","","","","","","","","8080/open/tcp//http//Jetty 9.4.45.v20220203/Ignored State: closed (997)",
